Euro,S&P 500,
1.3482,1530.62,
1.3429,1536.34,
1.3452,1539.18,
1.3483,1530.95,
1.3419,1517.38,
1.3453,1490.72,
1.344,1507.67,
1.3488,1509.12,
1.3526,1493,
1.3492,1515.67,
1.3456,1522.97,
1.3359,1532.91,
1.3359,1531.05,
1.3325,1533.7,
1.3295,1512.84,
1.3311,1522.19,
1.3365,1502.56,
1.3401,1497.74,
1.3416,1492.89,
1.3426,1506.34,
1.3399,1505.71,
1.3438,1503.35,
1.345,1519.43,
1.3468,1524.87,
1.3433,1525.4,
1.3466,1530.44,
1.352,1531.85,
1.3627,1510.12,
1.3615,1518.76,
1.3592,1547.7,
1.3626,1552.5,
1.3623,1549.52,
1.3714,1549.37,
1.3757,1546.17,
1.3776,1553.08,
1.3788,1534.1,
1.3785,1541.57,
1.3782,1511.04,
1.3808,1518.09,
1.3811,1482.66,
1.3831,1458.95,
1.3817,1473.91,
1.3824,1455.27,
1.3711,1465.81,
1.373,1472.2,
1.3647,1433.06,
1.3681,1467.67,
1.3711,1476.71,
1.3682,1497.49,
1.3693,1453.09,
1.3785,1453.64,
1.3789,1452.92,
1.3747,1426.54,
1.3808,1406.7,
1.3701,1411.27,
1.3686,1445.94,
1.3624,1445.55,
1.3581,1447.12,
1.3479,1464.07,
1.3402,1462.5,
1.3492,1479.37,
1.3468,1466.79,
1.3483,1432.36,
1.3535,1463.76,
1.356,1457.64,
1.3645,1473.99,
1.3645,1489.42,
1.3626,1472.29,
1.3675,1478.55,
1.3648,1453.55,
1.3641,1451.7,
1.3641,1471.49,
1.3606,1471.56,
1.3669,1483.95,
1.3697,1484.25,
1.3772,1476.65,
1.3794,1519.78,
1.3837,1529.03,
1.3904,1518.75,
1.3885,1525.75,
1.3848,1517.73,
1.386,1517.21,
1.3869,1525.42,
1.395,1531.38,
1.4092,1526.75,
1.4076,1547.04,
1.4086,1546.63,
1.4128,1539.59,
1.4126,1542.84,
1.4138,1557.59,
1.4219,1552.58,
1.4229,1565.15,
1.4163,1562.47,
1.4135,1554.41,
1.4128,1561.8,
1.4154,1548.71,
1.4154,1538.53,
1.4092,1541.24,
1.4157,1540.08,
1.4228,1500.63,
1.4168,1506.33,
1.4216,1519.59,
1.4165,1515.88,
1.4208,1514.4,
1.4291,1535.28,
1.4263,1540.98,
1.4138,1531.02,
1.4248,1549.38,
1.4237,1508.44,
1.4299,1509.65,
1.439,1502.17,
1.4405,1520.27,
1.4424,1475.62,
1.4468,1474.77,
1.4435,1453.7,
1.4481,1439.18,
1.4469,1481.05,
1.4555,1470.58,
1.4667,1451.15,
1.4691,1458.74,
1.4665,1433.27,
1.4598,1439.7,
1.467,1416.77,
1.4639,1440.7,
1.4652,1407.22,
1.4658,1428.23,
1.4787,1469.02,
1.4829,1469.72,
1.4829,1481.14,
1.4825,1472.42,
1.4862,1462.79,
1.4817,1485.01,
1.475,1507.34,
1.4766,1504.66,
1.4688,1515.96,
1.4657,1477.65,
1.4759,1486.59,
1.4666,1488.41,
1.4638,1467.95,
1.4664,1445.9,
1.4714,1454.98,
1.4702,1453,
1.4702,1460.12,
1.4591,1484.46,
1.4433,1496.45,
1.4369,1497.66,
1.4392,1476.27,
1.4344,1478.49,
1.4353,1468.36,
1.4361,1447.16,
1.4409,1447.16,
1.45,1411.63,
1.4601,1416.18,
1.4718,1390.19,
1.4603,1409.13,
1.4738,1420.33,
1.4736,1401.02,
1.4786,1416.25,
1.4684,1380.95,
1.4717,1373.2,
1.4663,1333.25,
1.474,1325.19,
1.4787,1310.5,
1.4877,1338.6,
1.4842,1352.07,
1.4643,1330.61,
1.469,1353.96,
1.4616,1362.3,
1.4609,1355.81,
1.4574,1378.55,
1.4737,1395.42,
1.4673,1380.82,
1.4789,1336.64,
1.4767,1326.45,
1.4782,1336.91,
1.4841,1331.29,
1.4851,1339.13,
1.4832,1348.86,
1.4638,1367.21,
1.4647,1348.86,
1.4495,1349.99,
1.4505,1348.78,
1.4506,1360.03,
1.4592,1342.53,
1.4569,1353.11,
1.4635,1371.8,
1.4674,1381.29,
1.4742,1380.02,
1.4663,1367.68,
1.4813,1330.63,
1.4825,1331.34,
1.4822,1326.75,
1.4889,1333.7,
1.5132,1304.34,
1.5172,1293.37,
1.5187,1273.37,
1.5195,1320.65,
1.521,1308.77,
1.5282,1315.48,
1.5356,1288.14,
1.5333,1276.6,
1.5369,1330.74,
1.5329,1298.42,
1.5495,1329.51,
1.5584,1349.88,
1.5604,1352.99,
1.5765,1341.13,
1.5784,1325.76,
1.5642,1315.22,
1.5417,1322.7,
1.5447,1370.18,
1.5394,1367.53,
1.5595,1369.31,
1.5761,1370.4,
1.5798,1372.54,
1.5759,1365.54,
1.5805,1354.49,
1.5615,1360.55,
1.5618,1332.83,
1.5667,1328.32,
1.5735,1334.43,
1.5713,1364.71,
1.5705,1365.56,
1.5804,1390.33,
1.5744,1388.17,
1.5796,1375.94,
1.5827,1379.93,
1.5801,1388.82,
1.5978,1397.84,
1.5924,1396.37,
1.5742,1390.94,
1.5881,1385.59,
1.601,1409.34,
1.5898,1413.9,
1.5668,1407.49,
1.5634,1418.26,
1.5648,1392.57,
1.5604,1397.68,
1.5568,1388.28,
1.5458,1403.58,
1.5431,1403.04,
1.5491,1408.66,
1.5548,1423.57,
1.537,1425.35,
1.5409,1426.63,
1.5447,1413.4,
1.5536,1390.71,
1.5509,1394.35,
1.5467,1375.93,
1.5492,1385.35,
1.5591,1390.84,
1.5516,1398.26,
1.5667,1400.38,
1.5772,1385.67,
1.5703,1377.65,
1.5784,1377.2,
1.5731,1404.05,
1.5628,1360.68,
1.5527,1361.76,
1.556,1358.44,
1.555,1335.49,
1.5454,1339.87,
1.5453,1360.03,
1.556,1360.14,
1.5731,1350.93,
1.5718,1337.81,
1.5473,1342.83,
1.5562,1317.93,
1.5418,1318,
1.5368,1314.29,
1.5472,1321.97,
1.5519,1283.15,
1.5502,1278.38,
1.5502,1280,
1.5626,1284.91,
1.5492,1261.52,
1.5591,1262.9,
1.557,1252.31,
1.5738,1273.7,
1.5749,1244.69,
1.5748,1253.39,
1.5778,1239.49,
1.5869,1228.3,
1.5708,1214.91,
1.5646,1245.36,
1.5653,1260.32,
1.5744,1260.68,
1.5771,1260,
1.5898,1277,
1.5914,1282.19,
1.5923,1252.54,
1.5847,1257.76,
1.5861,1234.37,
1.5855,1263.2,
1.5877,1284.26,
1.5811,1267.38,
1.5708,1260.31,
1.5657,1249.01,
1.5687,1284.88,
1.5747,1289.19,
1.5588,1266.07,
1.5559,1296.32,
1.5589,1305.32,
1.5567,1289.59,
1.5569,1285.83,
1.5468,1292.93,
1.5409,1298.2,
1.5341,1278.6,
1.5047,1266.69,
1.4958,1274.54,
1.4905,1277.72,
1.4895,1292.2,
1.4856,1266.84,
1.4695,1271.51,
1.473,1281.66,
1.4746,1300.68,
1.4701,1282.83,
1.4875,1277.58,
1.48,1274.98,
1.4803,1236.83,
1.466,1242.31,
1.4684,1267.79,
1.4685,1224.51,
1.4669,1232.04,
1.4522,1249.05,
1.4489,1251.7,
1.436,1192.7,
1.4273,1213.6,
1.4126,1156.39,
1.4173,1206.51,
1.402,1255.08,
1.3939,1207.09,
1.4172,1188.22,
1.4175,1185.87,
1.4155,1209.18,
1.4215,1213.27,
1.4382,1106.42,
1.4384,1166.36,
1.4697,1161.06,
1.4737,1114.28,
1.4655,1099.23,
1.4643,1056.89,
1.4596,996.23,
1.4381,984.94,
1.4081,909.92,
1.4058,899.22,
1.3854,1003.35,
1.3816,998.01,
1.3508,907.84,
1.3649,946.43,
1.368,940.55,
1.3646,985.4,
1.3471,955.05,
1.3658,896.78,
1.3567,908.11,
1.3416,876.77,
1.3462,848.92,
1.3314,940.51,
1.3102,930.09,
1.2835,954.09,
1.2878,968.75,
1.2639,966.3,
1.2446,1005.75,
1.2476,952.77,
1.2851,904.88,
1.285,930.99,
1.2682,919.21,
1.2719,898.95,
1.3021,852.3,
1.3039,911.29,
1.2756,873.29,
1.2777,850.75,
1.276,859.12,
1.2558,806.58,
1.2526,752.44,
1.2731,800.03,
1.2726,851.81,
1.269,857.39,
1.2595,887.68,
1.2525,896.24,
1.2531,816.21,
1.289,848.81,
1.303,870.74,
1.2828,845.22,
1.2694,876.07,
1.2634,909.7,
1.2724,888.67,
1.2669,899.24,
1.284,873.59,
1.2654,879.73,
1.2942,868.57,
1.2937,913.18,
1.3024,904.42,
1.3294,885.28,
1.3349,887.88,
1.3664,871.63,
1.381,863.16,
1.4358,868.15,
1.4298,872.8,
1.3875,869.42,
1.3952,890.64,
1.3966,903.25,
1.3964,931.8,
1.4062,927.45,
1.4232,934.7,
1.4085,906.65,
1.3919,909.73,
1.3946,890.35,
1.3576,870.26,
1.3445,871.79,
1.3718,842.62,
1.3714,843.74,
1.3495,850.12,
1.3347,805.22,
1.3198,840.24,
1.3174,827.5,
1.3094,831.95,
1.3244,836.57,
1.2946,845.71,
1.287,874.09,
1.2955,845.14,
1.2849,825.88,
1.3123,825.44,
1.3159,838.51,
1.3244,832.23,
1.2988,845.85,
1.2804,868.6,
1.2808,869.89,
1.301,827.16,
1.2857,833.74,
1.2838,835.19,
1.2874,826.84,
1.3064,789.17,
1.2966,788.42,
1.2893,778.94,
1.2822,770.05,
1.2879,743.33,
1.2571,773.14,
1.2547,764.9,
1.2675,752.83,
1.269,735.09,
1.2747,700.82,
1.2742,696.33,
1.2731,712.87,
1.2764,682.55,
1.2662,683.38,
1.258,676.53,
1.2549,719.6,
1.2607,721.36,
1.2565,750.74,
1.2674,756.55,
1.2636,753.89,
1.2752,778.12,
1.2774,794.35,
1.2799,784.04,
1.2891,768.54,
1.2997,822.92,
1.2972,806.12,
1.311,813.88,
1.373,832.86,
1.3566,815.94,
1.3569,787.53,
1.3524,797.87,
1.3539,811.08,
1.356,834.38,
1.3306,842.5,
1.3146,835.48,
1.3261,815.55,
1.3223,825.16,
1.3458,856.56,
1.3447,858.73,
1.3363,841.5,
1.3282,852.06,
1.3288,865.3,
1.3149,869.6,
1.3143,832.39,
1.3354,850.08,
1.3277,843.55,
1.3182,851.92,
1.3197,866.23,
1.303,857.51,
1.2903,855.16,
1.2978,873.64,
1.3012,872.81,
1.3048,877.52,
1.3277,907.24,
1.3136,903.8,
1.3061,919.53,
1.3324,907.39,
1.3244,929.23,
1.3267,909.24,
1.3365,908.35,
1.3375,883.92,
1.3313,893.07,
1.3411,882.88,
1.3494,909.71,
1.362,908.13,
1.3638,903.47,
1.3612,888.33,
1.3608,887,
1.3539,910.33,
1.3503,893.06,
1.3608,906.83,
1.3765,919.14,
1.3804,942.87,
1.4005,944.74,
1.3992,931.76,
1.3924,942.46,
1.3948,940.09,
1.4126,939.14,
1.4192,942.43,
1.427,939.15,
1.4194,944.89,
1.4187,946.21,
1.399,923.72,
1.3884,911.97,
1.4014,910.71,
1.3983,918.37,
1.4093,921.23,
1.404,893.04,
1.3784,895.1,
1.3878,900.94,
1.385,920.26,
1.3978,918.9,
1.3998,927.23,
1.3846,919.32,
1.4035,923.33,
1.4015,896.42,
1.3953,898.72,
1.4056,881.03,
1.4058,879.56,
1.402,882.68,
1.4186,879.13,
1.4018,901.05,
1.3991,905.84,
1.3938,932.68,
1.3965,940.74,
1.3852,940.38,
1.4026,951.13,
1.3926,954.58,
1.3973,954.07,
1.3971,976.29,
1.4116,979.26,
1.4115,982.18,
1.412,979.62,
1.4211,975.15,
1.4196,986.75,
1.422,987.48,
1.4266,1002.63,
1.4213,1005.65,
1.4212,1002.72,
1.4215,997.08,
1.4033,1010.48,
1.4066,1007.1,
1.4279,994.35,
1.4416,1005.81,
1.44,1012.73,
1.4391,1004.09,
1.4357,979.73,
1.418,989.67,
1.4143,996.46,
1.4141,1007.37,
1.4215,1026.13,
1.4283,1025.57,
1.4216,1028,
1.4088,1028.12,
1.4075,1030.98,
1.4262,1028.93,
1.4235,1020.62,
1.4305,998.04,
1.432,994.75,
1.435,1003.24,
1.423,1016.4,
1.4272,1025.39,
1.4358,1033.37,
1.4354,1044.14,
1.4235,1042.73,
1.4246,1049.34,
1.4278,1052.63,
1.4278,1068.76,
1.4497,1065.49,
1.4573,1068.3,
1.4568,1064.66,
1.4586,1071.66,
1.4613,1060.87,
1.4617,1050.78,
1.4698,1044.38,
1.4735,1062.98,
1.4704,1060.61,
1.4692,1057.08,
1.4795,1029.85,
1.4752,1025.21,
1.4696,1040.46,
1.4682,1054.72,
1.465,1057.58,
1.4553,1065.48,
1.463,1071.49,
1.4532,1076.19,
1.459,1073.19,
1.4647,1092.02,
1.4744,1096.56,
1.4675,1087.68,
1.4777,1097.91,
1.4715,1091.06,
1.4839,1081.4,
1.4899,1092.91,
1.4945,1079.6,
1.4889,1066.95,
1.4947,1063.41,
1.4905,1042.63,
1.5009,1066.11,
1.5003,1036.19,
1.5029,1042.88,
1.4941,1045.41,
1.4821,1046.5,
1.4763,1066.63,
1.4819,1069.3,
1.4755,1093.08,
1.4828,1093.01,
1.4658,1098.51,
1.4836,1087.24,
1.4857,1093.48,
1.4835,1109.3,
1.4999,1110.32,
1.496,1109.8,
1.4865,1094.9,
1.4886,1091.38,
1.4977,1106.24,
1.483,1105.65,
1.499,1110.63,
1.4905,1091.49,
1.487,1095.63,
1.4968,1108.86,
1.4937,1109.24,
1.5085,1099.92,
1.4963,1105.98,
1.4994,1103.25,
1.51,1091.94,
1.5059,1095.95,
1.5081,1102.35,
1.4885,1106.41,
1.482,1114.11,
1.4741,1107.93,
1.4725,1109.18,
1.4716,1096.08,
1.4601,1102.47,
1.4645,1114.05,
1.4514,1118.02,
1.4577,1120.59,
1.4317,1126.48,
1.4281,1127.78,
1.4319,1126.2,
1.4243,1126.42,
1.4341,1115.1,
1.4367,1132.99,
1.4392,1136.52,
1.4356,1137.14,
1.4316,1141.69,
1.4332,1144.98,
1.4419,1146.98,
1.4402,1136.22,
1.4404,1145.68,
1.4314,1148.46,
1.4357,1136.03,
1.4536,1150.23,
1.4523,1138.04,
1.4492,1116.48,
1.4478,1091.76,
1.4376,1096.78,
1.4269,1092.17,
1.4094,1097.5,
1.4106,1084.53,
1.4154,1073.87,
1.4146,1089.19,
1.4063,1103.32,
1.4053,1097.28,
1.3993,1063.11,
1.387,1066.19,
1.3904,1056.74,
1.3955,1070.52,
1.3907,1068.13,
1.3759,1078.47,
1.3608,1075.51,
1.3699,1094.87,
1.3795,1099.51,
1.3722,1106.75,
1.364,1109.17,
1.3625,1108.01,
1.3742,1094.6,
1.3623,1105.24,
1.3563,1102.94,
1.3538,1104.49,
1.359,1115.71,
1.3537,1118.31,
1.3576,1118.79,
1.3476,1122.97,
1.366,1138.7,
1.3516,1138.5,
1.3564,1140.45,
1.3731,1145.61,
1.3571,1150.24,
1.3608,1149.99,
1.3613,1150.51,
1.3586,1159.46,
1.3658,1166.21,
1.3674,1165.83,
1.3753,1159.9,
